,HoursActual,HoursEstimate,HoursPredict
10002,8.2,7.0,2.5697357935357257
10003,8.2,7.0,2.5697357935357257
10004,5.32,7.0,2.148675249852381
10005,4.75,3.25,1.4590060469323618
10006,14.97,50.0,3.079475008394716
10007,7.0,7.0,2.1388470152840986
10008,1.5,2.0,1.1648629314888959
10009,3.0,2.5,1.6303343083621276
10010,1.5,1.5,1.5775712749714415
10011,1.5,1.5,1.5775712749714415
10012,1.5,1.5,1.5775712749714415
10013,4.25,3.0,1.4530110993933656
10014,0.75,1.0,0.7727012950457306
10015,1.5,1.5,1.5775712749714415
10016,2.0,2.0,1.1598465074318431
10017,0.5,0.5,0.5411783351914901
10018,8.5,9.0,2.275573540167167
10019,0.88,3.5,1.4645776324447375
10020,2.84,3.5,1.4645776324447375
10021,3.42,14.0,2.6255113747318384
10022,3.42,14.0,2.6255113747318384
10023,1.88,2.5,1.4196869563844403
10024,5.0,21.0,3.061140984119732
10025,3.63,7.0,2.148675249852381
10026,3.5,3.5,1.4645776324447375
10027,2.5,2.5,1.6303343083621276
10028,24.0,14.0,2.604606248898302
10029,17.2,21.0,3.009946708712404
10030,1.02,3.5,1.4645776324447375
10031,9.41,14.0,2.6459287411256103
10032,7.0,7.0,2.1388470152840986
10033,43.55,21.0,3.245814282702858
10034,43.55,21.0,3.245814282702858
10035,43.55,21.0,3.245814282702858
10036,4.0,2.0,1.1648629314888959
10037,4.0,2.0,1.1648629314888959
10038,4.52,7.0,2.148675249852381
10039,3.0,3.0,1.627509268436881
10040,5.75,14.0,2.639691756905706
10041,8.59,7.0,2.148675249852381
10042,7.16,10.0,2.260805719894857
10043,1.89,7.0,2.148675249852381
10044,0.75,0.5,0.4573019907003483
10045,2.0,2.0,1.1648629314888959
10046,41.25,28.0,3.118551031025269
10047,1.0,1.0,1.1915094157333956
10048,121.5,35.0,3.2222007763998604
10049,0.5,0.5,0.6322621662102486
10050,7.0,7.0,2.148675249852381
10051,4.0,4.0,1.688893674315453
10052,2.0,21.0,2.8460361308799667
10053,4.5,3.5,1.6330808539492567
10054,5.7,14.0,2.6459287411256103
10055,2.0,2.5,1.643065393339268
10056,16.91,25.0,3.0974454922081063
10057,3.0,3.5,1.6330808539492567
10058,2.0,2.0,1.1598465074318431
10059,3.9,2.0,1.1648629314888959
10060,3.9,2.0,1.1648629314888959
10061,9.0,35.0,3.1352686495484665
10062,31.43,20.0,2.681361798110591
10063,2.99,10.0,2.260805719894857
10064,11.0,14.0,2.603282138779582
10065,1.0,1.0,1.151380023659187
10066,1.0,0.5,0.4573019907003483
10067,1.12,3.5,1.6458119389263972
10068,17.26,14.0,2.6459287411256103
10069,1.75,0.75,0.7546473927792586
10070,2.0,7.0,2.1388470152840986
10071,2.0,3.0,1.444011462900371
10072,2.5,2.5,1.6303343083621276
10073,1.5,0.75,0.7546473927792586
10074,1.5,0.75,0.7546473927792586
10075,134.75,35.0,3.044678536843561
10076,134.75,35.0,3.044678536843561
10077,20.25,100.0,4.252282768878677
10078,20.25,100.0,4.252282768878677
10079,4.37,7.0,2.148675249852381
10080,18.0,18.5,2.6948157154346073
10081,3.03,3.5,1.4645776324447375
10082,0.5,1.5,1.0239473836924422
10083,3.0,3.0,1.4530110993933656
10084,8.46,3.5,1.4645776324447375
10085,8.46,3.5,1.4645776324447375
10086,8.46,3.5,1.4645776324447375
10087,0.5,0.5,0.7068077797565967
10088,15.59,14.0,2.6459287411256103
10089,5.0,5.0,1.949704530607107
10090,2.5,1.25,1.1915094157333956
10091,4.5,7.0,2.1388470152840986
10092,4.5,4.5,1.9359509091436133
10093,8.0,16.0,2.601507165291246
10094,1.25,1.5,1.028963807749495
10095,0.5,3.0,1.444011462900371
10096,5.37,7.0,2.148675249852381
10097,4.69,10.0,2.260805719894857
10098,57.5,140.0,4.029420133683999
10099,5.0,5.0,1.949704530607107
10100,0.36,3.5,1.4645776324447375
10101,6.0,14.0,2.603282138779582
10102,2.5,2.5,1.6303343083621276
10103,13.5,3.0,1.738608732172942
10104,13.5,3.0,1.738608732172942
10105,13.5,3.0,1.738608732172942
10106,13.5,3.0,1.738608732172942
10107,13.5,3.0,1.738608732172942
10108,13.39,17.5,2.691887815112521
10109,8.0,7.0,2.1388470152840986
10110,0.25,0.25,0.2571596842223197
10111,10.0,49.0,3.218039447688737
10112,4.0,4.0,1.688893674315453
10113,13.65,14.0,2.6459287411256103
10114,3.5,3.5,1.6330808539492567
10115,5.0,5.0,1.9703158883052772
10116,7.1,70.0,4.239647489797348
10117,2.5,2.5,1.6303343083621276
10118,3.0,2.0,1.585091216960748
10119,3.0,2.0,1.585091216960748
10120,3.0,2.0,1.585091216960748
10121,38.2,35.0,3.115327474370572
10122,3.0,3.5,1.6330808539492567
10123,2.0,2.0,1.5775712749714415
10124,0.25,0.25,0.2571596842223197
10125,0.5,0.5,0.4573019907003483
10126,3.0,3.0,1.627509268436881
10127,1.75,1.75,1.028963807749495
10128,6.0,3.0,1.444011462900371
10129,6.0,3.0,1.444011462900371
10130,9.21,20.0,2.66320141863733
10131,12.79,35.0,2.939722334800721
10132,5.5,10.0,2.260894285723358
10133,1.0,1.0,0.7700883866583077
10134,1.0,0.5,0.577302315515027
10135,1.0,0.5,0.577302315515027
10136,3.0,3.0,1.444011462900371
10137,1.5,3.0,1.4530110993933656
10138,1.5,3.0,1.4530110993933656
10139,3.5,3.5,1.6330808539492567
10140,1.5,4.0,1.6649231862093312
10141,46.0,49.0,3.218039447688737
10142,46.0,49.0,3.218039447688737
10143,12.5,5.0,2.0289359974580026
10144,2.0,3.0,1.4530110993933656
10145,3.0,3.0,1.627509268436881
10146,16.0,7.0,1.9700872780985212
10147,52.0,21.0,3.132747618341406
10148,52.0,21.0,3.132747618341406
10149,1.0,1.0,0.7700883866583077
10150,14.46,21.0,3.009946708712404
10151,25.0,21.0,3.0637726037668176
10152,25.2,21.0,3.009946708712404
10153,10.5,3.5,1.6330808539492567
10154,7.0,7.0,2.07198260167856
10155,1.5,3.0,1.4530110993933656
10156,3.0,7.0,2.1388470152840986
10157,3.5,3.0,1.627509268436881
10158,79.5,35.0,2.82601071811795
10159,1.0,0.5,0.47296772133653614
10160,4.25,3.5,1.455577995951743
10161,13.58,18.0,2.71386979523575
10162,2.5,2.5,1.6303343083621276
10163,2.0,1.0,0.7700883866583077
10164,2.0,1.0,0.7700883866583077
